bg,berg,berg
bk,bæk,bekk
e.ev,elv,elv
fb,fiskerbod,fiskerbod
fd.,fjord,fjord
fj.,fjeld,fjell
gr.,grube,gruve
hdn,höiden,høyden
hg,haug,haug
hl.,holmen,holmen
in.,indre,indre
kln,kollen,kollen
kpn,kampen,kampen
lgr,læger,læger
l.,lille,lille
m.,mellem,mellom
ned.,nedre,nedre
n.,nordre,nordre
pgd.,præstegjeld,prestegjeld
pl.,plads,plass
skj.,skjær,skjær
sb,skytterbod,skytterbod
sn,sjöen,sjøen
sr.,sæter,sæter
st.,store,store
s.,söndre,søndre
tj.,tjern,tjern
vd,vand,vann
v.,vestre,vestre
yt.,ytre,ytre
öv.,övre,øvre
ö.,östre,østre
