Engan,529842.84,6928335.04
Kongsmoen,662619.03,7199681.05
Kvenndal,554655.93,7095309.05
Lines,545685.85,7097969.58
Hallset,568476.97,7030212.08
Inner-Raakvaagen,554430.03,7072511.06
Stadsbygd,550604.03,7042866.04
Stadsbygda,550604.03,7042866.04
Uddu,545887.00,7051378.90
Heimdal,567879.80,7025445.84
Søberg,564667.01,7015655.11
Oppdal,535497.95,6940579.03
Baaggaastronda,532359.05,6939070.00
Baggaastranda,532359.05,6939070.00
Baaggaastranda,532359.05,6939070.00
Risvollan,571443.00,7030367.00
Risvollen,571443.00,7030367.00
Strinda,572197.99,7032693.61
Kjøra,547945.94,7032396.92
Rømmen,542263.02,7082459.93
Høybakken,543140.00,7067729.86
Lysøysundet,542462.64,7084353.45
Nidarvoll,570394.96,7030780.63
Hovin,561761.00,6997933.93
Melhus,564107.06,7018041.93
Kvithylla,545186.04,7048243.88
Nerkjøra,548256.74,7032390.76
Solsjøbygda,543915.97,7007147.02
Stamnan,543585.05,6969060.11
Grønberg,588607.19,7033457.94
Singsaas,587793.14,6981887.60
Øya,569056.36,7033593.59
Aasvang,572426.97,7032292.89
Singsaker,570510.95,7033434.01
Lade,571987.56,7036127.08
Brenna,549876.47,7102886.89
Stokkneset,550921.99,7103074.10
Stoksund,551856.68,7101749.00
Harsvika,549522.42,7102738.05
Trondheim,569616.48,7034312.11
Traaante,569616.48,7034312.11
Kalvskinnet,569379.98,7033982.03
Midtbyen,569693.86,7034386.70
Kirkesletta,570395.87,7034489.70
Kirkesletten,570395.87,7034489.70
Fossegrenda,569805.02,7029504.84
Hospitalsløkkan,568954.96,7034308.13
Selsbakk,568081.84,7029766.97
Byaasen,567895.02,7030922.28
Tonstadmarka,569147.02,7027175.08
Flataasen,567092.01,7028102.14
Kolstad,568101.02,7027309.96
Rønningen,580214.98,7061502.99
Rosendal,571564.03,7034993.99
Engan,564830.06,6992276.97
Lundamo,564774.02,7003191.12
Straum,566810.00,7117136.87
Skjern,574390.03,7100308.88
Sandviksberget,570112.39,7134016.31
Aakervika,566441.05,7133468.96
Ælesstranda,553009.96,7023355.92
Ælistranda,553009.96,7023355.92
Børsa,553548.97,7022441.14
Vassbygda,556262.00,7011304.87
Viggja,549593.02,7024437.99
Rye,557402.74,7033301.61
Spjeldvangen,564446.93,6990366.11
Jøssund,588080.08,7138876.67
Seter,571848.98,7141920.06
Gaasbakken,549830.98,6998696.85
Kvaal,564408.91,7012016.10
Mebygda,556145.00,7029126.93
Eidsmoan,555950.99,7004846.08
Spongdal,558361.95,7025743.01
Sørfjorden,556539.99,7070256.99
Forbygda,586607.05,6975781.91
Innset,553312.04,6954916.10
Enodden,575437.49,6973555.66
Odden,575437.49,6973555.66
Sumstad,563475.01,7119920.13
Monstadstranda,558173.00,7093123.08
Fagerhaugen,545106.49,6947588.40
Fagerhaug,545106.49,6947588.40
Tyholt,571747.31,7033703.32
Moholt,571720.02,7032019.06
Torstad,611680.03,7199010.97
Graamarka,629323.99,7203007.89
Kolvereid,623211.75,7195405.48
Øya,622125.48,6939883.39
Sjøbakken,622987.03,6941333.56
Drag,598282.00,7202157.10
Bergbygda,587269.00,7065642.10
Aasen,601736.06,7055260.06
Verrastranda,593824.04,7087679.94
Venneshamn,600289.94,7084663.01
Sitter,595293.05,7157441.93
Driva,532535.70,6933755.60
Tunnsjø senter,724423.02,7177135.86
Tunnsjøsenter,724423.02,7177135.86
Sundan,628180.97,7108433.15
Sunnan,628180.97,7108433.15
Stod,630244.00,7107648.89
Tranabakken,622495.03,7100471.05
Follafoss,603426.94,7097199.90
Oppland,590116.92,7135964.40
Øverbygda,603112.07,7009236.91
Bakkan,592002.06,7154309.96
Strandheim,591234.03,7153614.14
Lauvsnes,591684.99,7153906.12
Moen,591221.02,7154039.94
Vikvarvet,598826.01,7010191.99
Aalen,617178.48,6970063.32
Renbygda,618032.14,6970072.89
Namsos,620113.99,7151260.07
Selnes,616546.95,7146859.09
Skjelstadmarka,603697.02,7044495.09
Galaaa,617601.74,6938014.22
Sende,630813.63,7078899.69
Musum,630423.05,7079961.68
Moa,667473.04,7164252.04
Leir,651799.04,7153618.94
Utøya,604964.04,7082675.13
Langstranda,619626.94,7200573.99
Kaldvika,628354.01,7211091.07
Skage,632257.20,7151898.20
Lysthaugen,629299.72,7073142.79
Ugla,566510.00,7030974.93
Skatval,590860.07,7043608.94
Selbustrand,598004.16,7014803.53
Selbustranda,598004.16,7014803.53
Dalbygda,580481.89,7065619.72
Hofstad,568150.39,7119788.38
Leinstrand,565514.86,7022432.54
Kattem,566952.94,7024744.02
Øysanden,561293.94,7023103.14
Sverresborg,567904.07,7032803.90
Skjøra,559761.03,7109730.07
Vassneset,559410.89,7093630.61
Aafjord,559982.99,7093209.03
Aa i Aafjord,559982.99,7093209.03
Aa,559982.99,7093209.03
Indre Skjervøya,562755.02,7129810.01
Smaavollan,564755.03,6991234.07
Snøan,562836.68,6984794.30
Støren,565000.97,6990592.91
Ottersøya,608454.88,7194525.24
Utleira,571429.62,7029759.52
Mebonden,602050.94,7012869.05
Ranheim,576358.85,7034130.00
Bakklandet,570051.07,7034070.04
Blussuvoll,571443.97,7033238.00
Blusuvoll,571443.97,7033238.00
Lilleby,571532.97,7035520.87
Reina,571164.10,7035315.42
Lademoen,571100.04,7035116.76
Nardo,571074.95,7032034.69
Rosenborg,570609.97,7034514.55
Ila,568302.06,7034252.63
Tempe,569770.81,7031869.76
Namdalseid,607860.99,7123622.13
Floin,619485.49,7119264.03
Jaadaaren,619373.10,7110064.42
Moan,612682.94,7070126.11
Hessdalen,611611.93,6964458.07
Smalaasen,702885.96,7224160.02
Smeelehaesie,702885.96,7224160.02
Verrabotn,577894.97,7075985.14
Charlottenlund,574601.50,7034029.99
Nedre Charlottenlund,574466.16,7035042.38
"Charlottenlund, nedre",574466.16,7035042.38
Strand,570442.95,7133656.87
Vingsand,570691.03,7136576.07
Osen,573092.97,7131046.11
Midtsandan,586363.18,7034641.01
Kroa,580885.94,7061695.03
Strindheim,572516.99,7034612.05
Leksvik,580314.97,7061567.15
Leksvika,580314.97,7061567.15
Mosvik,598678.00,7078643.86
Nedre Elvehavn,570599.93,7034931.05
Bratsberg,574322.98,7025380.00
Gartland,662775.99,7160800.03
Utvorda,593689.97,7164566.97
Ofstad,599618.05,7196408.08
Frøvarp,612552.85,7163542.66
Østmarka,572082.83,7036891.79
Berg,571027.02,7033242.95
Colonien,571279.05,7035600.02
Stubban,570872.97,7030402.00
Valentinlyst,571962.03,7033480.58
Falkenborg,572729.02,7035123.08
Hyttbakken,607367.98,7009860.07
Lyngsnes,598991.95,7207089.04
Lyngsneset,598991.95,7207089.04
Finnanger,602587.03,7167919.00
Abelvær,603830.02,7180088.89
Statland,603152.68,7154127.06
Muruvika,591198.28,7035081.61
Lavika,619295.41,7151673.96
Prærien,619078.99,7151525.94
Nordskaget,618861.84,7079467.11
Hylla,617522.98,7081471.70
Sela,587857.06,7099362.13
Sørlia,620618.84,7098770.63
Nordsidhaugen,622265.94,7101495.96
Sannan,622371.99,7100619.89
Knuten,610329.04,6978485.03
Tiller,569142.95,7025752.70
Vik,584648.66,7149456.27
Aas,634388.05,6993373.97
Strøket,573679.02,7019858.76
Brøttemsmoen,575705.42,7014860.11
Tinden,622422.99,7075589.92
Aasenfjorden,597999.02,7054038.82
Vikhammer,581152.27,7035342.18
Hommelvik,590158.44,7032665.52
Liahaaggaan,578818.01,7061194.14
Elgeseter,569586.74,7033266.16
Tillerbyen,569534.01,7026928.03
Hegra,605362.94,7039025.86
Grungstad,655331.04,7168453.10
Overhalla,641620.05,7155309.16
Knausen,690980.06,7197696.98
Brekkvasselv,690454.01,7197480.08
Haugen,690799.96,7197737.95
Olavikhaugen,650586.02,7204801.04
Høylandet,657852.98,7171160.14
Borgan,589932.02,7206388.97
Borgann,589932.02,7206388.97
Trongsundet,583322.96,7079725.06
Smaaland,584606.02,7053307.15
Kvelia,724804.98,7163452.96
Søraaa,614771.95,7197248.08
Sandan,601446.80,7057433.20
Storaas,530094.93,6996345.39
Drogsetmoen,530860.93,6998928.06
Krokstadøra,525007.53,7030356.45
Uv,544088.07,6969035.88
Skjervan,545355.85,6968810.82
Skjerve,545355.85,6968810.82
Rokkones,542202.97,6970085.10
Sandnes,537221.00,7080652.93
Oksvoll,533475.03,7076524.05
Berkaak,551430.94,6966830.96
Vassbygda,531675.07,7054718.87
Svorkbygda,530207.00,7013099.01
Monstad,557901.73,7093213.71
Røstad,534555.54,7066162.84
Rø,542177.29,7058501.04
Fossmoan,537827.06,6984334.95
Nes,528976.96,7071585.81
Uthaug,529621.80,7066592.09
Bjørnli,533837.03,7000263.01
Inderdal,729684.08,7125998.57
Sørli,734390.05,7130889.11
Knarrlaget,503975.94,7059608.01
Knarrlagsund,503975.94,7059608.01
Hestnes,480392.18,7050889.62
Klevset,463052.88,6997333.63
Kløvset,463052.88,6997333.63
Snaasa,663703.68,7128741.20
Snaaase,663703.68,7128741.20
Grønnskaget,491500.91,7066666.02
Røyrvik,715897.74,7203686.17
Raarvihke,715897.74,7203686.17
Fillan,498493.56,7053145.64
Oppløya,635219.00,7189113.13
Sjursvika,540524.36,7055157.65
Ingdalen,545299.01,7037047.09
Hasselvika,540895.04,7056217.98
Orkdal,541342.99,7016348.01
Val,533265.03,7078130.86
Opphaug,534018.06,7066806.98
Raakstad,554438.56,7072437.22
Holand,726650.55,7155287.33
Øvre Rindal,516398.63,6996587.24
Leksaas,658778.98,7153807.97
Formofoss,661185.96,7145820.94
Mebygda,734214.95,7130946.92
Flatbostad,662922.95,7128989.11
Aun,668324.02,7128343.08
Harran,667287.93,7164132.98
Tunnsjøen,721487.96,7181382.92
Namsskogan,696558.97,7206989.04
Foldereid,650010.96,7208076.01
Levanger,613480.14,7070801.84
Levangke,613480.14,7070801.84
Romundstad,516168.10,6988545.79
Agle,670543.04,7132490.98
Ronglan,604550.01,7061385.15
Skogn,608364.02,7065860.86
Husby,603960.97,7056048.02
Prestmoen,598665.94,7037363.89
Hegramo,605398.02,7038932.86
Vassbygda,597529.03,7042740.85
Haakkadalen,622623.04,7101363.14
Byafossen,624572.05,7103509.04
Nordsidleiret,621515.98,7101510.90
Beitstad,615134.96,7108681.87
Malmlia,608115.05,7107064.89
Spillum,621328.96,7149057.97
Kleppen,621680.03,7152485.94
Austafjord,591738.00,7200625.85
Naustvollen,628748.98,7108891.09
Øra,622509.04,6940071.93
Markabygda,612666.98,7058597.87
Markabygden,612666.98,7058597.87
Markabygd,612666.98,7058597.87
Salsnes,616125.95,7175893.94
Dun,608140.95,7172167.11
Tømra,603950.96,7019073.09
Haltdalen,608683.45,6979225.97
Ramsvika,619396.96,7156744.12
Klinga,619412.03,7144947.94
Klingen,619412.03,7144947.94
Stjørdal,595315.01,7039039.99
Stjørdalshalsen,595615.94,7039528.08
Verran,603489.55,7103872.94
Lundaasen,566393.06,7025514.72
Framverran,598257.94,7085982.15
Sparbu,619323.08,7090270.51
Vanvikan,560693.00,7047827.87
Bangsund,615568.98,7142912.90
Forradal,611220.01,7041688.09
Flornes,617286.97,7038789.88
Tøttdalen,603348.72,7147870.01
Frol,617377.91,7070717.55
Rinnan,620262.13,7072718.95
Sjøaasen,607484.01,7133263.86
Malm,608470.04,7107303.09
Rørvik,606143.98,7194936.90
Innbygda,604777.97,7014308.11
Hitterdalen,635318.86,6944902.98
Lauvsnes,590966.63,7154158.08
Smaaland,613139.01,7094948.62
Kjerknesvaagen,607455.98,7089051.92
Ervik,535422.99,7069627.88
Grova,542343.06,7018675.12
Sandvika,720684.14,7156679.43
Midtsian,491600.03,7066952.99
Hammarvika,490594.94,7063128.87
Dyrvik,491211.79,7069949.48
Dyrvika,491211.79,7069949.48
Endset,745744.95,7124267.12
Kjerringvaag,488921.06,7058162.10
Oldervika,498756.02,7052424.90
Melandsjøen,486713.95,7055711.12
Melandsjø,486713.95,7055711.12
Øysletta,646945.06,7152050.01
Sul,648917.82,7063344.24
Hjellnes,478588.99,6999207.15
Garten,525643.05,7057138.12
Øya,488782.94,7062500.87
Hemnskjela,508136.96,7041364.90
Setra,484361.94,7074564.05
Gurvikdalen,486926.94,7070917.54
Vera,664825.04,7079190.11
Nord-Vera,664825.04,7079190.11
Skaun,552844.06,7014043.88
Rodal,482800.37,7004773.11
Futstranda,519740.95,7047590.00
Ytre Snillfjord,514287.98,7025089.98
Henna,469972.71,7000598.55
Øvre Sørbygda,667307.02,7128497.93
Gaulstad,652447.05,7098386.64
Børøysund,509466.03,7049169.95
Storhallaren,480135.21,7060812.36
Ulvilla,638693.24,7077399.25
Vellamelen,616331.01,7111564.00
Stormoen,645868.02,7065441.08
Garnes,636126.97,7070796.92
Feragen,646348.42,6940964.40
Fjær,622988.99,7201536.83
Steinkjer,621965.98,7101056.00
Svenskbyen,622385.02,7101319.08
Sørsidleiret,621749.94,7100574.13
Salsbruket,636020.03,7189329.06
Skogmo,644644.01,7157100.97
Raabygda,549295.05,7012018.89
Innvorda,596493.04,7163335.87
Liabøen,465066.95,6999055.14
Gifstad,660927.03,7122143.04
Vauldalen,655285.93,6949147.01
Maaneset,617179.98,7203924.06
Eidshaug,615827.95,7202969.95
Sjaahaugen,623606.02,7185072.93
Lund,623668.97,7185127.89
Glaamos,624386.80,6951318.65
Kloemege,624386.80,6951318.65
Skjølaagrinda,642843.29,7097691.23
Vestbygda,658158.97,7123609.14
Viosen,663239.92,7129266.98
Ytre Sørbygda,664754.07,7127257.93
Tannvikvaagen,511824.96,7028786.97
Sør-Gutvika,633285.82,7220827.00
Breide,657944.93,7123697.09
Meraaker,637791.58,7035510.61
Kopperaa,642258.01,7032511.98
Brekken,646829.15,6949676.84
Brekka,646829.15,6949676.84
Brekkebygd,646829.15,6949676.84
Praahka,646829.15,6949676.84
Medjaa,659423.04,7152845.93
Rosten,658196.96,7151290.05
Flora,616445.01,7000058.09
Hemne,504270.06,7017033.62
Kjørse,504199.84,7017499.67
Støa,503394.96,7017652.85
Gangaasvassbygda,531412.32,7017728.21
Haugen,503760.02,7018564.13
Kyrksæterøra,504464.71,7017966.23
Kyrkseterøra,504464.71,7017966.23
Kristentrøa,504155.06,7019378.93
Halsa,462151.04,6993812.07
Rindal,510695.90,6991794.45
Rissa,547741.44,7051561.65
Valsøybotn,480598.03,6996140.94
Bremneset,482336.46,7068129.53
Flatval,488086.89,7062356.70
Langaasen,488583.97,7062826.89
Engan,477762.67,6999478.51
Engjan,477762.67,6999478.51
Nordbotn,506815.01,7057661.01
Binde,632146.04,7109894.12
Trones,682976.07,7185274.91
Skorovatn,696452.00,7175141.97
Gullvika,618557.04,7152270.92
Fossbrenna,622091.95,7153225.92
Svalia,641447.96,7156476.55
Ranemsletta,641621.58,7155307.89
Ytre Skjervøya,562715.13,7130639.15
Gaasbakken,731125.03,7132507.15
Gaasbakk,731125.03,7132507.15
Røra,618043.78,7083525.13
Mære,618900.00,7092364.89
Asphaugen,622300.04,7106734.10
Stugudalen,646952.59,6978641.06
Straumen,612806.99,7084738.90
Geitastrand,546440.47,7026726.39
Geitastranda,546440.47,7026726.39
Løkken Verk,535564.99,6999803.00
Svorkmo,537390.83,7004711.25
Snoen,536459.98,6986434.91
Fannremsmoen,541340.98,7016352.94
Harbak,550967.96,7106341.03
Skavdalen,540166.04,7068861.02
Fauskan,538198.05,7080680.14
Vormstad,538727.99,7008071.14
Flaa,565499.03,7008275.08
Lensvik,540239.98,7042998.09
Selbekken,540959.50,7041956.97
Singstad,538495.14,7039331.36
Fevaag,542121.85,7061300.53
Korsvegen,542592.95,7061417.98
Fevaagsjøen,542481.96,7062200.90
Grønningen,537448.67,7050537.32
